Id;MAT_1SEM_PROM;FIS_1SEM_PROM;ING_1SEM_PROM;ACTF_1SEM_A;ACTF_1SEM_R;OTRANS_1SEM_A;OTRANS_1SEM_R;OTRANS_1SEM_PROM;ESP_1SEM_A;ESP_1SEM_R;ESP_1SEM_PROM;INS_1SEM;PROM_1SEM;MAT_2SEM_PROM;FIS_2SEM_PROM;ING_2SEM_PROM;ACTF_2SEM_A;ACTF_2SEM_R;OTRANS_2SEM_A;OTRANS_2SEM_R;OTRANS_2SEM_PROM;ESP_2SEM_A;ESP_2SEM_R;ESP_2SEM_PROM;INS_2SEM;PROM_2SEM;INSC_AnO;PROM_AnO;GENERO;NOM_CARRERA;TIPO_CARRERA;nombre_nacionalidad;descripcion_situacion_egreso_postulante;nombre_comuna_EM;nombre_provincia_EM;nombre_region_EM;nombre_dependencia_EM;nombre_grupo_dependencia_EM;descripcion_rama_educacional_EM;nombre_secretaria_admision;numero_estado_civil;descripcion_trabajo_remunerado;numero_horario_trabajo;descripcion_proseguir_estudios;descripcion_jefe_familia;descripcion_fuente_financiamiento_estudio_superior;descripcion_fuente_financiamiento_estudio_superior2;inferior_ingreso_bruto_fam;superior_ingreso_bruto_fam;nombre_cobertura_salud;descripcion_viven_padres;descripcion_nivel_educacion_padre;descripcion_nivel_educacion_madre;descripcion_situacion_ocupacional_padre;descripcion_situacion_ocupacional_madre;descripcion_tipo_organismo_trabajan_padre;descripcion_tipo_organismo_trabajan_madre;descripcion_ocupacion_principal_padre;descripcion_ocupacion_principal_madre;descripcion_rama_actividad_padre;descripcion_rama_actividad_madre;horas_promedio_trabajo;cantidad_personas_grupo_familiar;cuantos_trabajan_grupo_familiar;cuantos_estudian_grupo_pre_basica;cuantos_estudian_grupo_basica;cuantos_estudian_grupo_media_1_3;cuantos_estudian_grupo_media_4;cuantos_estudian_grupo_superior;cuantos_estudian_grupo_otras;ptje_nem;ptje_leng;ptje_mate;ptje_hycs;ptje_cien;Rotulo_Titulo
12;56;61;65;1;;;;;2;1;66;7;63;68;;85;;;1;;55;2;;81;5;74;12;68;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Préstamo;278001;834000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Trabaja sólo ocasionalmente;Privado o particular;Independiente;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Oficios artesanales& talleres de joyeros& mueblista& sastre& modista&  peluquero& etc.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;0;3;1;0;1;0;1;0;0;539;561;571;0;609;SI
13;;60;;;;2;;76;;1;43;4;64;76;;69;1;;;;;3;;70;6;71;10;68;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;278001;834000;Isapre;Ambos viven;Media completa;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;5;1;0;0;0;1;2;0;579;571;585;0;534;SI
15;81;;76;1;;2;;69;2;;77;7;75;76;69;76;1;;;;;3;;72;7;73;14;74;F;Técnico Universitario en Control de Alimentos;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SAN ESTEBAN;LOS ANDES;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;San Felipe;soltero(a);No;0;Otros;Padre del postulante;Padres del Postulante;Sin Datos;0;278000;Fonasa;Ambos viven;Universitaria completa;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Profesional con cinco o más anos de estudios  universitarios;Dueno de casa;Agricultura& ganadería& pesca y caza.;Dueno de casa.;0;6;1;0;0;1;1;1;0;682;510;499;508;468;SI
16;7;34;84;;1;1;;75;;3;26;8;40;;;;;;;;;;;;;;8;40;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico nocturno.;Valparaíso;soltero(a);No;0;Con familiares;Madre del postulante;Beca;Préstamo;0;278000;Otro;Ambos viven;Centro de formación técnica incompleta;Media completa;Cesante;Trabaja sólo ocasionalmente;Sin Datos;Independiente;Sin Datos;Oficios artesanales& talleres de joyeros& mueblista& sastre& modista&  peluquero& etc.;Sin datos;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;6;1;0;0;0;1;0;1;541;552;520;574;531;NO
17;63;57;55;;;;;;4;;69;7;64;53;;55;;;2;;73;3;1;50;8;57;15;60;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular no Subvencionado;Particular Pagado ;Humanista científico diurno.;Valparaíso;soltero(a);Ocasionalmente;4;Con sus padres;Padre del postulante;Padres del Postulante;Préstamo;0;0;Sin Datos;Ambos viven;Universitaria completa;Otros estudios;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Profesional con cinco o más anos de estudios  universitarios;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;18;4;1;0;1;0;0;0;0;538;476;595;0;564;SI
18;60;;93;1;;1;;73;3;;76;7;76;72;60;72;1;;1;;60;3;;78;8;71;15;73;M;Técnico Universitario en Matricería para Plásticos y Metales;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;CALERA;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Préstamo;278001;834000;Isapre;Ambos viven;Centro de formación técnica completa;Universitaria incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Privado o particular;Fiscal o semifiscal;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Profesional con cinco o más anos de estudios  universitarios;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;0;5;2;0;0;1;1;1;0;539;548;493;0;437;SI
19;;33;;;;2;;77;2;;62;5;62;20;41;70;1;;1;;62;3;;70;8;57;13;59;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;CON CON;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Otros familiares;Sin Datos;834001;1400000;Isapre;Ambos viven;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;0;3;2;0;0;0;1;0;0;476;557;549;0;591;NO
20;;45;;;;;2;39;;1;30;4;38;;;;;;;;;;;;;;4;38;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;278001;834000;Isapre;Ambos viven;Media incompleta;Media incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Privado o particular;Privado o particular;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;0;4;2;0;1;0;1;0;0;476;532;576;662;537;NO
22;76;;91;1;;1;1;63;2;;85;7;77;60;;69;1;;1;;61;2;;82;6;71;13;74;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Préstamo;0;278000;Otro;Ambos viven;Media completa;Media completa;Jubilado o pensionado (no reincorporado);Activo& tiene trabajo remunerado;Otro;Privado o particular;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Servicios jurídicos& de orden y seguridad& Ministerio de Interior&  Justicia y Defensa& servicios jurídicos públicos y privados. FF.AA. y  Carabineros.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;3;1;0;0;1;1;0;0;558;650;695;0;659;SI
24;;44;;;;2;;73;2;;76;5;68;76;89;55;1;;1;;80;3;;89;8;81;13;76;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;CABILDO;PETORCA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;La Ligua;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Préstamo;278001;834000;Fonasa;Ambos viven;Media completa;Media incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Dueno de casa;Explotación de minas y canteras;Dueno de casa.;0;5;1;0;1;0;1;0;0;558;422;571;473;483;SI
25;84;;85;1;;2;;72;2;;75;7;77;63;;97;1;;1;;74;2;;66;6;73;13;75;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;PEnAFLOR;TALAGANTE;REGION METROPOLITANA DE SANTIAGO;Municipal;Municipal ;Humanista científico diurno.;Talagante;soltero(a);No;0;Sin Datos;Padre del postulante;Sin Datos;Sin Datos;0;144000;Fonasa;Ambos viven;Desconocida o sin información;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;5;1;0;0;1;1;0;0;599;562;614;0;542;SI
26;57;;56;;;2;;60;2;1;45;7;53;55;56;71;;;;;;;1;30;4;53;11;53;M;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;LOS VILOS;CHOAPA;REGION DE COQUIMBO;Municipal;Municipal ;Humanista científico diurno.;Illapel;soltero(a);No;0;Otros;Madre del postulante;Beca;Padres del Postulante;0;278000;Fonasa;Ambos viven;Media completa;Centro de formación técnica incompleta;Sin Datos;Activo& tiene trabajo remunerado;Sin Datos;Fiscal o semifiscal;Sin Datos;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Sin datos;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;0;2;1;0;0;0;1;0;0;682;461;548;0;504;SI
27;;;75;1;;1;;85;3;;65;6;71;55;;;1;;;;;5;;66;7;64;13;67;F;Ingeniería de Ejecución en Mecánica de Procesos y Mantenimiento Industrial;INGENIERÍA;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Beca;Préstamo;0;278000;Fonasa;Ambos viven;Media incompleta;Media incompleta;Otra situación;Otra situación;Otro;Independiente;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;4;1;0;0;3;1;0;0;682;537;628;0;528;SI
28;35;;80;1;;1;1;44;1;1;33;7;45;27;;85;1;;;1;48;;;;4;53;11;48;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quilpue;soltero(a);No;0;Otros;Otra persona;Beca;Beca;0;144000;Fonasa;Ambos viven;Desconocida o sin información;Desconocida o sin información;Trabaja sólo ocasionalmente;No trabaja (enfermedad& edad avanzada);Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;2;0;0;0;0;0;1;0;599;552;561;0;537;NO
29;;78;;;;2;;75;2;;72;5;74;75;;66;1;;1;;76;3;;86;7;79;12;77;F;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quilpue;soltero(a);No;0;Con familiares;Madre del postulante;Padres del Postulante;Otros familiares;432001;576000;Capredena;Sólo la madre;Media completa;Básica incompleta;Jubilado o pensionado (no reincorporado);Dueno de casa;Sin Datos;Dueno de casa;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Dueno de casa;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;Dueno de casa.;0;7;1;1;0;0;1;2;0;558;425;597;523;520;SI
31;55;;;1;;2;;64;2;2;56;8;58;41;57;;;;;;;1;1;52;4;50;12;55;M;Técnico Universitario en Mecánica Industrial;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;FREIRE;CAUTIN;REGION DE LA ARAUCANIA;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Temuco;soltero(a);Sí& permanentemente;4;Con familiares;Padre del postulante;Beca;Préstamo;135001;270000;Fonasa;Ambos viven;Universitaria completa;Universitaria completa;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Fiscal o semifiscal;Fiscal o semifiscal;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;16;4;3;0;1;0;0;1;1;476;579;602;659;548;NO
