Id;MAT_1SEM_PROM;FIS_1SEM_PROM;ING_1SEM_PROM;ACTF_1SEM_A;ACTF_1SEM_R;OTRANS_1SEM_A;OTRANS_1SEM_R;OTRANS_1SEM_PROM;ESP_1SEM_A;ESP_1SEM_R;ESP_1SEM_PROM;INS_1SEM;PROM_1SEM;MAT_2SEM_PROM;FIS_2SEM_PROM;ING_2SEM_PROM;ACTF_2SEM_A;ACTF_2SEM_R;OTRANS_2SEM_A;OTRANS_2SEM_R;OTRANS_2SEM_PROM;ESP_2SEM_A;ESP_2SEM_R;ESP_2SEM_PROM;INS_2SEM;PROM_2SEM;INSC_AnO;PROM_AnO;GENERO;NOM_CARRERA;TIPO_CARRERA;nombre_nacionalidad;descripcion_situacion_egreso_postulante;nombre_comuna_EM;nombre_provincia_EM;nombre_region_EM;nombre_dependencia_EM;nombre_grupo_dependencia_EM;descripcion_rama_educacional_EM;nombre_secretaria_admision;numero_estado_civil;descripcion_trabajo_remunerado;numero_horario_trabajo;descripcion_proseguir_estudios;descripcion_jefe_familia;descripcion_fuente_financiamiento_estudio_superior;descripcion_fuente_financiamiento_estudio_superior2;inferior_ingreso_bruto_fam;superior_ingreso_bruto_fam;nombre_cobertura_salud;descripcion_viven_padres;descripcion_nivel_educacion_padre;descripcion_nivel_educacion_madre;descripcion_situacion_ocupacional_padre;descripcion_situacion_ocupacional_madre;descripcion_tipo_organismo_trabajan_padre;descripcion_tipo_organismo_trabajan_madre;descripcion_ocupacion_principal_padre;descripcion_ocupacion_principal_madre;descripcion_rama_actividad_padre;descripcion_rama_actividad_madre;horas_promedio_trabajo;cantidad_personas_grupo_familiar;cuantos_trabajan_grupo_familiar;cuantos_estudian_grupo_pre_basica;cuantos_estudian_grupo_basica;cuantos_estudian_grupo_media_1_3;cuantos_estudian_grupo_media_4;cuantos_estudian_grupo_superior;cuantos_estudian_grupo_otras;ptje_nem;ptje_leng;ptje_mate;ptje_hycs;ptje_cien
63;66;40;89;1;;2;;77;1;;73;7;70;73;72;81;1;;;;;4;;77;8;76;15;73;M;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;ILLAPEL;CHOAPA;REGION DE COQUIMBO;Municipal;Municipal ;Humanista científico diurno.;Illapel;soltero(a);No;0;En forma independiente;Padre del postulante;Padres del Postulante;Padres del Postulante;405001;540000;Fonasa;Ambos viven;Media completa;Instituto profesional incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Fiscal o semifiscal;Fiscal o semifiscal;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;0;4;2;0;1;0;1;0;0;641;513;527;572;0
69;51;;55;1;;1;;78;3;;68;7;65;;47;74;1;;1;;71;3;;65;7;65;14;65;M;Técnico Universitario en Matricería para Plásticos y Metales;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quilpue;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Beca;288001;432000;Fonasa;Ambos viven;Instituto profesional completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;5;1;0;0;0;0;1;0;599;451;515;0;486
70;62;;87;1;;1;;79;3;;63;7;70;55;55;55;1;;;1;53;3;;61;8;57;15;63;M;Técnico Universitario en Matricería para Plásticos y Metales;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;LIMACHE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quillota;soltero(a);No;0;Con sus padres;Sin Datos;Padres del Postulante;Padres del Postulante;278001;834000;Otro;Ambos viven;Media completa;Media incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Privado o particular;Privado o particular;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Oficios artesanales& talleres de joyeros& mueblista& sastre& modista&  peluquero& etc.;Servicios jurídicos& de orden y seguridad& Ministerio de Interior&  Justicia y Defensa& servicios jurídicos públicos y privados. FF.AA. y  Carabineros.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;4;2;1;0;0;1;0;0;455;470;547;440;410
77;96;;;1;;2;;71;4;;64;8;71;96;70;;;;;;;2;2;52;6;62;14;67;M;Técnico Universitario en Mecánica Industrial;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;casado(a);Ocasionalmente;1;En forma independiente;El postulante;Otras fuentes;Otras fuentes;0;278000;Fonasa;Ambos viven;Media completa;Media incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Fiscal o semifiscal;Dueno de casa;Sin Datos;Sin Datos;Sin datos;Sin datos;48;6;1;0;1;1;0;0;0;538;524;606;0;496
83;67;;78;1;;2;;63;2;;65;7;67;72;56;78;1;;;;;3;;66;7;67;14;67;F;Técnico Universitario en Control de Alimentos;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Beca;Padres del Postulante;0;278000;Fonasa;Sólo la madre;Sin Datos;Media completa;Sin Datos;Activo& tiene trabajo remunerado;Sin Datos;Privado o particular;Sin Datos;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Sin datos;Comercio al por mayor y menor. Bancos y seguros;0;3;1;0;0;0;1;1;0;723;476;576;0;531
89;;36;;;;2;;74;2;;75;5;67;74;62;72;1;;1;;76;3;;77;8;74;13;71;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);Ocasionalmente;4;Con familiares;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Centro de formación técnica completa;Centro de formación técnica completa;Otra situación;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;8;4;2;0;1;0;0;1;0;538;505;534;563;0
91;69;;52;;;2;;61;2;1;55;7;58;56;60;;;;;;;1;1;51;4;55;11;57;M;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular no Subvencionado;Particular Pagado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Préstamo;Padres del Postulante;0;278000;Sin Datos;Ambos viven;Universitaria completa;Centro de formación técnica incompleta;Cesante;Activo& tiene trabajo remunerado;Otro;Independiente;Profesional con cinco o más anos de estudios  universitarios;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Comercio al por mayor y menor. Bancos y seguros;0;6;1;0;0;0;0;2;0;538;453;588;0;473
93;55;55;55;1;;1;;55;2;;59;7;56;38;;55;1;;1;;55;1;3;54;8;52;15;54;M;Técnico Universitario en Proyectos de Ingeniería;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;COQUIMBO;ELQUI;REGION DE COQUIMBO;Particular Subvencionado;Particular Subvencionado ;Humanista científico nocturno.;La Serena;soltero(a);No;0;En forma independiente;Padre del postulante;Padres del Postulante;Padres del Postulante;278001;834000;Fonasa;Ambos viven;Media incompleta;Media incompleta;Otra situación;Dueno de casa;Independiente;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Dueno de casa.;0;6;2;0;0;0;2;1;0;521;464;510;568;0
94;;56;;;;2;;82;;1;24;4;61;;;;;;;;;;;;;;4;61;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;LA CRUZ;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Ambos viven;Básica incompleta;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;4;1;0;0;1;1;0;0;682;618;559;0;564
106;;65;;;;2;;86;2;;83;5;80;75;;81;1;;1;;66;3;;81;7;77;12;79;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;PUNTA ARENAS;MAGALLANES;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;Particular no Subvencionado;Particular Pagado ;Humanista científico diurno.;Punta Arenas;soltero(a);Sí& permanentemente;3;En forma independiente;Madre del postulante;Trabajo personal;Préstamo;278001;834000;Fonasa;Ambos viven;Centro de formación técnica completa;Media completa;Trabaja sólo ocasionalmente;Activo& tiene trabajo remunerado;Independiente;Otro;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Servicios de salud públicos y privados. Ministerio de Salud e  instituciones de salud.;42;3;2;0;0;1;0;0;0;579;683;568;684;0
110;43;41;90;1;;2;;67;1;;66;7;62;;;82;;1;;1;44;3;1;65;7;65;14;63;M;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;NOGALES;QUILLOTA;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;Quillota;soltero(a);Ocasionalmente;4;En pensión;Madre del postulante;Préstamo;Beca;0;135000;Fonasa;Ambos viven;Media completa;Media completa;Cesante;Cesante;Privado o particular;Dueno de casa;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;25;2;1;0;0;0;0;0;1;579;507;589;508;507
113;77;79;88;;;;;;4;;74;7;77;85;;70;;;2;;67;4;;73;8;73;15;75;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;PUDAHUEL;SANTIAGO;REGION METROPOLITANA DE SANTIAGO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Santiago;soltero(a);No;0;En forma independiente;Padre del postulante;Padres del Postulante;Préstamo;144001;288000;Fonasa;Ambos viven;Básica incompleta;Básica incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;6;1;0;0;0;0;1;0;662;552;617;0;584
114;55;46;55;;1;1;;66;1;1;43;7;51;45;54;8;;1;;1;4;2;1;49;8;37;15;44;M;Técnico Universitario en Proyectos de Ingeniería;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Valparaíso;soltero(a);Ocasionalmente;4;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Ambos viven;Media incompleta;Media completa;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;10;6;2;1;0;0;1;1;0;599;541;537;553;495
120;58;;57;1;;2;;59;1;1;55;7;57;58;;63;1;;;1;49;;;;4;57;11;57;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;EL QUISCO;SAN ANTONIO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;San Antonio;soltero(a);No;0;Con familiares;Padre del postulante;Beca;Padres del Postulante;0;144000;Otro;Ambos viven;Básica incompleta;Básica completa;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Dueno de casa;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Dueno de casa;Agricultura& ganadería& pesca y caza.;Dueno de casa.;0;6;1;0;1;0;0;0;0;620;562;597;0;531
141;77;;78;;;2;;68;3;;62;7;68;69;34;85;;;;;;3;;59;6;61;13;65;F;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Cesante;Privado o particular;Dueno de casa;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;5;1;0;0;0;0;2;0;579;581;620;547;534
150;56;55;71;1;;1;;57;2;1;58;8;59;47;;56;1;;;;;1;;58;4;54;12;57;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILLOTA;QUILLOTA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Quillota;soltero(a);No;0;Con sus padres;Madre del postulante;Beca;Préstamo;0;278000;Sin Datos;Ambos viven;Media completa;Media completa;Jubilado o pensionado (no reincorporado);Activo& tiene trabajo remunerado;Sin Datos;Fiscal o semifiscal;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;0;5;0;0;0;0;0;1;0;478;453;606;0;490
158;68;56;55;1;;1;;66;2;;87;7;70;57;;56;1;;1;;62;3;;76;7;67;14;68;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;SAN ANTONIO;SAN ANTONIO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;San Antonio;soltero(a);No;0;En pensión;Otro familiar del postulante;Padres del Postulante;Otras fuentes;278001;834000;Fonasa;Ambos viven;Centro de formación técnica incompleta;Centro de formación técnica completa;Trabaja sólo ocasionalmente;Activo& tiene trabajo remunerado;Independiente;Fiscal o semifiscal;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Empleado o funcionario especializado& jefe  intermedio de servicios públicos y privados. Oficial  de FF.AA. y Carabineros. Profesional o técnico con  menos de cinco anos de estudios universitarios.  Mediano empresario industrial& comerciante&  agrícola y minero.;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Servicios de salud públicos y privados. Ministerio de Salud e  instituciones de salud.;0;6;1;0;0;0;0;1;1;517;524;516;506;542
160;55;67;81;;;;;;3;1;59;7;62;55;;55;;;2;;77;2;2;43;8;54;15;58;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Universitaria completa;Media completa;Trabaja sólo ocasionalmente;Activo& tiene trabajo remunerado;Privado o particular;Privado o particular;Profesional con cinco o más anos de estudios  universitarios;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Comercio al por mayor y menor. Bancos y seguros;0;3;1;0;0;0;1;1;0;599;614;572;574;531
